X;Y_22.06.2000;Y_05.07.2005;Y_11.04.2012;Y_19.10.2016;Y_15.11.2016;Y_10.05.2017;Y_21.02.2018;Y_08.08.2018;Y_13.12.2018;Y_27.12.2018;Y_03.05.2019;Y_12.07.2019;Y_02.10.2019;Y_25.03.2020;Y_31.08.2020;Y_13.11.2020;Y_15.05.2021;Y_31.08.2021
571,5151515;0;-0,416609998;-36,44529706;-0,128173995;-38,49288566;-38,49288566;-592,0160752;-764,541125;-803,8738361;-593,8554693;-804,9017167;-814,9634282;-882,0326097;-965,8373383;-1137,457154;-1246,602032;-1311,519911;-1346,794738
579,7979798;0;-0,363725963;-32,82811482;-0,111903723;-36,02935135;-36,02935135;-615,2018234;-797,5220745;-835,5228134;-618,5634023;-838,9962686;-847,2115619;-918,1526385;-1007,905349;-1193,579028;-1310,90125;-1382,711306;-1422,285589
588,0808081;0;-0,185282762;-28,83946173;-0,057003989;-33,02389915;-33,02389915;-635,8001547;-827,6683583;-864,0934294;-640,3720616;-870,7458305;-877,6573475;-950,6100868;-1045,772706;-1247,757373;-1372,054186;-1450,763483;-1493,83373
596,3636364;0;-0,000648403;-25,01563414;-0,000199487;-30,01244481;-30,01244481;-654,9177039;-854,8870945;-889,8923953;-659,9182377;-899,8782725;-906,8736006;-979,8778433;-1079,858079;-1300,768697;-1429,754743;-1514,729577;-1559,725713
604,6464646;0;0;-21,79264604;0;-27,41397078;-27,41397078;-673,092787;-878,7738042;-912,7924213;-677,4370298;-925,7811646;-934,7974793;-1005,941848;-1110,225313;-1352,785562;-1483,824069;-1573,97325;-1618,844517
612,9292929;0;0;-19,20006399;0;-25,17352499;-25,17352499;-688,560306;-897,6610975;-930,9071988;-691,5354696;-946,4628301;-958,7898029;-1026,814423;-1135,500136;-1401,532732;-1534,599041;-1629,116733;-1672,490463
621,2121212;0;0;-17,16449554;0;-23,11610095;-23,11610095;-698,971675;-909,5616708;-941,9048342;-700,4081762;-959,5822088;-975,5587668;-1040,007944;-1153,943977;-1444,114908;-1582,547179;-1681,101071;-1722,576218
629,4949495;0;0;-15,61254825;0;-21,06669214;-21,06669214;-701,9783079;-912,4882205;-943,4534341;-702,2497682;-962,7982409;-981,8125665;-1043,034787;-1163,818263;-1477,63679;-1628,136002;-1730,867308;-1771,014453
637,7777778;0;-0,016265021;-14,46726264;-0,005004087;-18,85757015;-18,85757015;-695,3386497;-904,5404966;-933,3364;-695,3351267;-953,8843922;-974,4065655;-1033,521551;-1163,457673;-1499,353312;-1671,766979;-1779,27316;-1819,590874
646,0606061;0;-0,029939265;-13,57130452;-0,009211097;-16,48500112;-16,48500112;-679,2228397;-885,7798033;-911,9350473;-679,747651;-933,1947056;-953,5122243;-1011,668587;-1152,847319;-1509,904558;-1712,353241;-1825,298731;-1867,230458
